날짜,시가,고가,저가,종가,거래량,등락률,ticker,name,거래대금,거래대금_log,return_1d,return_5d,return_20d,ma5,ma20,ma60,ma5_gap,ma20_gap,ma60_gap,volatility_20,volume_change,volume_ma20,volume_ratio,high_low_gap,open_close_gap,next_open,next_close,target,proba,rank,weight,target_amount,shares,buy_amount,signal_date,status
2026-04-24,12340,13455,12110,13390,2060658,0.0833333333333332,33790,피노,27592210620,24.04079934596005,0.0833333333333332,0.3416833667334669,0.846896551724138,11680.0,10020.0,7103.75,0.1464041095890411,0.3363273453093811,0.8849199366531761,0.0764999284101193,-0.4840311044919029,6590593.95,0.3126665086080747,0.1004480955937266,0.0850891410048622,13500.0,14180.0,1,0.7622037,1.0,0.2,2000000.0,149,1995110,2026-04-24,OPEN
2026-04-24,45800,56500,45800,54000,20601605,0.1816192560175054,80220,제주반도체,1112486670000,27.73761886889345,0.1816192560175054,0.2471131639722863,0.3449564134495642,47300.0,41967.5,42755.833333333336,0.1416490486257928,0.2867099541311728,0.2629855575262634,0.0648188173174256,8.881718805460423,2636695.5,7.813418348838537,0.1981481481481481,0.1790393013100436,54900.0,58400.0,1,0.7106068,2.0,0.2,2000000.0,37,1998000,2026-04-24,OPEN
2026-04-24,90700,91900,88300,90600,69416,-0.0098360655737704,445680,큐리옥스바이오시스템즈,6289089600,22.5620821596634,-0.0098360655737704,-0.0022026431718061,-0.1996466431095406,90120.0,87290.0,104268.33333333331,0.0053262316910784,0.0379195784167716,-0.1310880580553379,0.0641756338896318,-0.1907859457695088,170175.15,0.407909145371695,0.0397350993377483,-0.0011025358324145,90200.0,90700.0,1,0.7023955,3.0,0.2,2000000.0,22,1993200,2026-04-24,OPEN
2026-04-24,374500,417500,374000,411500,569981,0.0828947368421053,250,삼천당제약,234547181500,26.18092260502536,0.0828947368421053,-0.1524201853759011,-0.6296129612961296,429500.0,569200.0,651500.0,-0.0419091967403958,-0.2770555165144062,-0.3683806600153492,0.0994129912725558,0.1986276307599133,647996.4,0.8796051953375049,0.1057108140947752,0.0987983978638184,421000.0,445000.0,1,0.69951326,4.0,0.2,2000000.0,4,1646000,2026-04-24,OPEN
2026-04-24,34650,42300,34450,42300,30620110,0.2995391705069123,98460,고영,1295230653000,27.889709905645752,0.2995391705069123,0.2818181818181817,0.5494505494505495,34340.0,29230.0,30368.33333333333,0.2317996505532906,0.4471433458775231,0.3928983041545471,0.0814120870701075,11.36791881633545,3596593.55,8.513642026633786,0.185579196217494,0.2207792207792207,43250.0,43500.0,1,0.67958194,5.0,0.2,2000000.0,47,1988100,2026-04-24,OPEN
2026-04-27 00:00:00,19000,21300,18790,20300,1406230,0.114772103239978,52020,에스티큐브,28546469000,24.074799087676418,0.114772103239978,0.2061794414735591,0.044238683127572,17612.0,16374.5,13130.333333333334,0.1526232114467409,0.2397325109163639,0.5460384351755476,0.0560812974620255,1.4051975240437655,542606.75,2.591619068505875,0.1236453201970443,0.0684210526315789,20200.0,20500.0,1,0.8214628100395203,1.0,0.2,2000000.0,98,1989400,2026-04-27 00:00:00,OPEN
2026-04-27 00:00:00,56000,56400,55200,55200,49591,0.0018148820326677,35760,CJ ENM,2737423200,21.730282877266276,0.0018148820326677,-0.0018083182640145,-0.0466321243523316,54740.0,54375.0,63410.0,0.0084033613445377,0.0151724137931035,-0.1294748462387636,0.0206307000605569,0.5312480701537701,56064.2,0.8845395100616793,0.0217391304347826,-0.0142857142857142,55300.0,55400.0,1,0.6638066172599792,2.0,0.2,2000000.0,36,1987200,2026-04-27 00:00:00,OPEN
2026-04-27 00:00:00,18720,19280,17600,17960,9736437,-0.0405982905982905,27360,아주IB투자,174866408520,25.88728813946713,-0.0405982905982905,0.4818481848184819,0.9845303867403314,15508.0,11181.5,7551.333333333333,0.1581119422233685,0.606224567365738,1.3783879226626643,0.1113620513027026,-0.7382885203003569,15534847.1,0.6267481705693776,0.0935412026726058,-0.0405982905982906,18310.0,18700.0,1,0.6189859509468079,3.0,0.2,2000000.0,111,1993560,2026-04-27 00:00:00,OPEN
2026-04-27 00:00:00,44800,47600,43800,46600,176775,0.0401785714285714,94170,동운아나텍,8237715000,22.831988836707573,0.0401785714285714,0.0913348946135832,0.5154471544715447,44370.0,34777.5,30994.166666666668,0.0502591841334234,0.3399468046869385,0.5035087247600354,0.0532445883746496,0.2782272934336971,236571.7,0.7472364615040599,0.0815450643776824,0.0401785714285714,46450.0,47850.0,1,0.6176681518554688,4.0,0.2,2000000.0,42,1957200,2026-04-27 00:00:00,OPEN
2026-04-27 00:00:00,13500,14250,13130,14180,1864860,0.0589992531740104,33790,피노,26443714800,23.99828434134219,0.0589992531740104,0.4194194194194194,0.702280912364946,12518.0,10312.5,7249.083333333333,0.1327688129094104,0.375030303030303,0.9561093931416618,0.0718787922718052,-0.095017222654123,5710491.7,0.3265673251919795,0.078984485190409,0.0503703703703703,14180.0,14190.0,1,0.6174324750900269,5.0,0.2,2000000.0,141,1999380,2026-04-27 00:00:00,OPEN
2026-04-28 00:00:00,90000,90000,86500,86600,264100,-0.021468926553672274,095610,테스,22871060000,23.853138192879474,-0.021468926553672274,-0.02257336343115124,0.5631768953068592,89540.0,79580.0,71411.66666666667,-0.03283448737994188,0.08821311887408889,0.21268700259061313,0.0486329261235509,-0.03140506779431018,409172.35,0.6454492831688163,0.04041570438799076,-0.03777777777777778,85700.0,86600.0,1,0.6989082098007202,1.0,0.2,2000000.0,23,1991800,2026-04-28 00:00:00,OPEN
2026-04-28 00:00:00,46000,46750,44750,46200,248040,-0.020148462354188768,083450,GST,11459448000,23.16208037962091,-0.020148462354188768,0.06820809248554904,0.8629032258064515,45570.0,36902.5,31754.166666666668,0.01382488479262678,0.25194770002032385,0.454927174911429,0.0465477212347669,-0.3976643831790907,492502.7,0.5036317567396077,0.04329004329004329,0.004347826086956522,44950.0,49600.0,1,0.6851350665092468,2.0,0.2,2000000.0,43,1986600,2026-04-28 00:00:00,OPEN
2026-04-28 00:00:00,438000,443000,425000,432000,173088,-0.02921348314606742,000250,삼천당제약,74774016000,25.037736281910774,-0.02921348314606742,-0.09148264984227128,-0.47889022919179736,414300.0,512400.0,651850.0,0.042722664735698856,-0.15690866510538637,-0.33727084451944467,0.08002106556130477,-0.5610780326006471,597132.4,0.2898653631924846,0.041666666666666664,-0.0136986301369863,434500.0,443000.0,1,0.6779564619064331,3.0,0.2,2000000.0,4,1728000,2026-04-28 00:00:00,OPEN
2026-04-28 00:00:00,43700,43850,39600,39950,6416972,-0.08160919540229883,098460,고영,256358031400,26.26984086451176,-0.08160919540229883,0.2484375000000001,0.6339468302658486,38280.0,30877.5,30662.5,0.0436259143155695,0.293822362561736,0.3028944150020383,0.08100980142874503,-0.6090868186814064,4624225.1,1.387685906553295,0.10638297872340426,-0.08581235697940504,39900.0,41950.0,1,0.6750941872596741,4.0,0.2,2000000.0,50,1997500,2026-04-28 00:00:00,OPEN
2026-04-28 00:00:00,480000,491500,473000,483500,36164,-0.003092783505154628,357780,솔브레인,17485294000,23.584626021789934,-0.003092783505154628,0.09637188208616787,0.32829670329670324,472300.0,424675.0,424616.6666666667,0.02371374126614434,0.13851768999823388,0.13867409820622512,0.03787182196720086,-0.09408817635270539,44557.2,0.8116308924259155,0.038262668045501554,0.007291666666666667,471000.0,479000.0,1,0.66628497838974,5.0,0.2,2000000.0,4,1934000,2026-04-28 00:00:00,OPEN
